№;ЛД;ФИО;Статус;Приориетет;Рейтинг;Факультет;Форма обучения;Период обучения;Срок обучения;Курс;Код Специальности;Специальность;Образовательный уровень;Комиссия;Тип док. об обр.;Серия;Номер;Ср. балл;Награды;Оригинал;Коментарии;Бюджет;Общий конкурс;Целевой конкурс;Дата создания;Тех. секретарь;Unnamed: 27
30546;2449ПВ;Андреева Светлана Ивановна;В приказ;Первый;92,7;Пединститут;заочная;Нормативный;5 лет 00 мес.;4 (четвертый) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;Переводы, восстановления;Диплом специалиста;НК;19332574;95,4;без отличия;да;;нет;да;нет;05.06.2019 10:54;Агафонова Валерия Валериевна;
30547;2450ПВ;Серафимович Ольга Игнатовна;В приказ;Первый;92,7;Пединститут;заочная;Нормативный;5 лет 00 мес.;4 (четвертый) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;223-ССЗ;202;95,4;без отличия;да;;да;да;нет;05.06.2019 10:54;Агафонова Валерия Валериевна;
30548;2451ПВ;Кондратенко Кондрат Кириллович;В приказ;Первый;94;Пединститут;очная;Нормативный;4 года 00 мес.;2 (второй) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1708362;99;без отличия;да;;да;да;нет;05.06.2019 10:54;Агафонова Валерия Валериевна;
30549;2452ПВ;Александренко Лидия Степановна;В приказ;Первый;95;Пединститут;очная;Нормативный;4 года 00 мес.;2 (второй) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДАО;1800470;100;без отличия;да;;да;да;нет;05.06.2019 10:55;Агафонова Валерия Валериевна;
30550;2453ПВ;Иннокентиевская Инна Андреeвна;В приказ;Первый;95;Пединститут;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;нк;18898346;200;без отличия;да;;нет;да;нет;05.06.2019 10:55;Агафонова Валерия Валериевна;
30551;2454ПВ;Борисовская Анастасия Глебовна;В приказ;Первый;70,85;Пединститут;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;44.03.02;Психолого-педагогическое образование;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1703412;156,7;без отличия;да;;да;да;нет;05.06.2019 10:55;Агафонова Валерия Валериевна;
30552;2455ПВ;Степановская Яна Семеновна;В приказ;Первый;77,3;Пединститут;очная;Нормативный;4 года 00 мес.;4 (четвертый) курс;44.03.01;Педагогическое образование (Профиль: Музыкальное образование);Бакалавриат;Переводы, восстановления;Диплом специалиста;223-СС3;224;74,6;без отличия;да;;да;да;нет;05.06.2019 10:56;Агафонова Валерия Валериевна;
30553;2456ПВ;Николаевич Игнат Андреeвич;В приказ;Первый;90,5;Пединститут;очная;Нормативный;4 года 00 мес.;3 (третий) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;Да;1705257;191;без отличия;да;;да;да;нет;05.06.2019 10:56;Агафонова Валерия Валериевна;
30554;2457ПВ;Степановская Виктория Кондратовна;В приказ;Первый;90;Пединститут;заочная;Нормативный;5 лет 00 мес.;2 (второй) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ОБ АВ;8570;90;без отличия;да;;нет;да;нет;05.06.2019 10:57;Агафонова Валерия Валериевна;
30555;2458ПВ;Кондратович Кирилл Кириллович;В приказ;Первый;91,9;Пединститут;заочная;Нормативный;5 лет 00 мес.;4 (четвертый) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;11362;42777975;98,8;без отличия;да;;нет;да;нет;05.06.2019 10:57;Агафонова Валерия Валериевна;
30706;2458ПВ;Кондратович Кирилл Кириллович;В приказ;Второй;94,4;Пединститут;заочная;Нормативный;5 лет 00 мес.;4 (четвертый) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;11362;42777975;98,8;без отличия;да;;да;да;нет;05.06.2019 12:00;Агафонова Валерия Валериевна;
30556;2459ПВ;Глебович Алексей Алексеeвич;В приказ;Первый;65,3;Пединститут;заочная;Нормативный;5 лет 00 мес.;4 (четвертый) курс;44.03.02;Психолого-педагогическое образование;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;НК;45900093;50,6;без отличия;да;;нет;да;нет;05.06.2019 10:57;Агафонова Валерия Валериевна;
30557;2460ПВ;Серафимов Иннокентий Степанович;В приказ;Первый;68,5;Пединститут;заочная;Нормативный;5 лет 00 мес.;5 (пятый) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;АР;36988868;62;без отличия;да;;нет;да;нет;05.06.2019 10:57;Агафонова Валерия Валериевна;
30558;2461ПВ;Семеновская Серафима Семеновна;В приказ;Первый;75,85;Пединститут;заочная;Нормативный;5 лет 00 мес.;5 (пятый) курс;44.03.01;Педагогическое образование (Профиль: Музыкальное образование);Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;НК;43556984;59,7;без отличия;да;;да;да;нет;05.06.2019 10:58;Агафонова Валерия Валериевна;
30559;2462ПВ;Кондратовский Терентий Алексеeвич;В приказ;Первый;85,9;Пединститут;очная;Нормативный;4 года 00 мес.;2 (второй) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1802680;91,8;без отличия;да;;да;да;нет;05.06.2019 10:58;Агафонова Валерия Валериевна;
30560;2463ПВ;Петровская Светлана Дмитриeвна;В приказ;Первый;80,15;Пединститут;заочная;Нормативный;5 лет 00 мес.;4 (четвертый) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1606431;180,3;без отличия;да;;да;да;нет;05.06.2019 10:58;Агафонова Валерия Валериевна;
30561;2464ПВ;Иннокентиевская Просковья Андреeвна;В приказ;Первый;79,8;Пединститут;заочная;Нормативный;5 лет 00 мес.;4 (четвертый) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;ПТ;791337;169,6;без отличия;да;;нет;да;нет;05.06.2019 10:58;Агафонова Валерия Валериевна;
30562;2465ПВ;Глебовский Глеб Борисович;В приказ;Первый;90,2;Пединститут;очная;Нормативный;4 года 00 мес.;2 (второй) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1804477;90,4;без отличия;да;;да;да;нет;05.06.2019 10:58;Агафонова Валерия Валериевна;
30563;2466ПВ;Трофимовская Александра Владимировна;В приказ;Первый;55,9;Пединститут;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;НК;18847530;46,8;без отличия;да;;нет;да;нет;05.06.2019 10:59;Агафонова Валерия Валериевна;
30564;2467ПВ;Кондратенко Зинаида Андреeвна;В приказ;Первый;65,35;Пединститут;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;44.03.02;Психолого-педагогическое образование;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;НК;37180766;145,7;без отличия;да;;нет;да;нет;05.06.2019 10:59;Агафонова Валерия Валериевна;
30565;2468ПВ;Николаев Глеб Степанович;В приказ;Первый;73,2;Пединститут;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;нк;25317158;66,4;без отличия;да;;нет;да;нет;05.06.2019 10:59;Агафонова Валерия Валериевна;
30566;2469ПВ;Кондратенко Анна Трофимовна;В приказ;Первый;80,4;Пединститут;заочная;Нормативный;5 лет 00 мес.;2 (второй) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;НК;31991012;80,8;без отличия;да;;нет;да;нет;05.06.2019 11:00;Агафонова Валерия Валериевна;
30567;2470ПВ;Трофимова Марина Александровна;В приказ;Первый;66,4;Пединститут;заочная;Нормативный;5 лет 00 мес.;5 (пятый) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;;138124066314;57,8;без отличия;да;;да;да;нет;05.06.2019 11:00;Агафонова Валерия Валериевна;
30568;2471ПВ;Иванович Борис Трофимович;В приказ;Первый;72;Пединститут;очная;Нормативный;4 года 00 мес.;3 (третий) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;Да;1706742;159;без отличия;да;;да;да;нет;05.06.2019 11:00;Агафонова Валерия Валериевна;
30569;2472ПВ;Дмитриевич Иннокентий Глебович;В приказ;Первый;90,2;Пединститут;очная;Нормативный;4 года 00 мес.;4 (четвертый) курс;44.03.01;Педагогическое образование (Профиль: Музыкальное образование);Бакалавриат;Переводы, восстановления;Диплом специалиста;223-СС3;225;90,4;без отличия;да;;да;да;нет;05.06.2019 11:00;Агафонова Валерия Валериевна;
30570;2473ПВ;Глебова Александра Алексеeвна;В приказ;Первый;74,85;Пединститут;заочная;Нормативный;5 лет 00 мес.;5 (пятый) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;Е17;100265;64,7;без отличия;да;;да;да;нет;05.06.2019 11:01;Агафонова Валерия Валериевна;
30571;2474ПВ;Дмитриевич Вера Петровна;В приказ;Первый;94,5;Пединститут;очная;Нормативный;4 года 00 мес.;2 (второй) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1805642;100;без отличия;да;;да;да;нет;05.06.2019 11:01;Агафонова Валерия Валериевна;
30572;2475ПВ;Серафимовский Дмитрий Кириллович;Отклонено;Первый;25,3;Пединститут;заочная;Нормативный;5 лет 00 мес.;4 (четвертый) курс;44.03.02;Психолого-педагогическое образование;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;НК;34505100;50,6;без отличия;да;;нет;да;нет;05.06.2019 11:01;Агафонова Валерия Валериевна;
30573;2476ПВ;Борисова Ксения Иннокентиeвна;В приказ;Первый;76,1;Пединститут;заочная;Нормативный;5 лет 00 мес.;1 (первый) курс;44.03.02;Психолого-педагогическое образование;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;НК;42415721;67,2;без отличия;да;;нет;да;нет;05.06.2019 11:02;Агафонова Валерия Валериевна;
30574;2477ПВ;Иннокентиевский Николай Трофимович;В приказ;Первый;81,9;Пединститут;заочная;Нормативный;5 лет 00 мес.;5 (пятый) курс;44.03.01;Педагогическое образование (Профиль: Музыкальное образование);Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;АР;25678;73,8;без отличия;да;;да;да;нет;05.06.2019 11:02;Агафонова Валерия Валериевна;
30575;2478ПВ;Трофимова Юлия Петровна;В приказ;Первый;73,7;Пединститут;заочная;Нормативный;5 лет 00 мес.;4 (четвертый) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;НК;46101692;72,4;без отличия;да;;да;да;нет;05.06.2019 11:03;Агафонова Валерия Валериевна;
30576;2479ПВ;Иннокентиенко Кирилл Глебович;В приказ;Первый;80,3;Пединститут;заочная;Нормативный;5 лет 00 мес.;4 (четвертый) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;НК;46438784;80,6;без отличия;да;;да;да;нет;05.06.2019 11:04;Агафонова Валерия Валериевна;
30577;2480ПВ;Николаенко Варвара Семеновна;В приказ;Первый;88,8;Пединститут;заочная;Нормативный;5 лет 00 мес.;4 (четвертый) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;246-СС3;149;99,6;без отличия;да;;да;да;нет;05.06.2019 11:04;Агафонова Валерия Валериевна;
30578;2481ПВ;Борисенко Вера Ивановна;В приказ;Первый;65,3;Пединститут;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;нк;37169649;155,6;без отличия;да;;нет;да;нет;05.06.2019 11:04;Агафонова Валерия Валериевна;
30579;2482ПВ;Тимофеев Игнат Борисович;В приказ;Первый;63,8;Пединститут;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;44.03.02;Психолого-педагогическое образование;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;НК;31336089;147,6;без отличия;да;;нет;да;нет;05.06.2019 11:04;Агафонова Валерия Валериевна;
30580;2483ПВ;Дмитриевич Дмитрий Степанович;В приказ;Первый;83,5;Пединститут;очная;Нормативный;4 года 00 мес.;2 (второй) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1801501;90;без отличия;да;;да;да;нет;05.06.2019 11:05;Агафонова Валерия Валериевна;
30581;2484ПВ;Игнатовская Фаина Петровна;В приказ;Первый;99;Пединститут;очная;Нормативный;4 года 00 мес.;3 (третий) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1704992;200;без отличия;да;;да;да;нет;05.06.2019 11:05;Агафонова Валерия Валериевна;
30582;2485ПВ;Тимофеева Инесса Николаeвна;В приказ;Первый;90;Пединститут;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;РВ;3447;100;без отличия;да;;нет;да;нет;05.06.2019 11:05;Агафонова Валерия Валериевна;
30583;2486ПВ;Трофимова Анастасия Андреeвна;В приказ;Первый;87,4;Пединститут;заочная;Нормативный;5 лет 00 мес.;4 (четвертый) курс;44.03.02;Психолого-педагогическое образование;Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;23-СС3;162;94,8;без отличия;да;;да;да;нет;05.06.2019 11:06;Агафонова Валерия Валериевна;
30584;2487ПВ;Петренко Ульяна Игнатовна;В приказ;Первый;72,5;Пединститут;заочная;Нормативный;5 лет 00 мес.;2 (второй) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;НК;42431240;60;без отличия;да;;нет;да;нет;05.06.2019 11:06;Агафонова Валерия Валериевна;
30585;2488ПВ;Ивановская Мария Кондратовна;В приказ;Первый;68,65;Пединститут;заочная;Нормативный;5 лет 00 мес.;5 (пятый) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;МС;2315045;67,3;без отличия;да;;да;да;нет;05.06.2019 11:06;Агафонова Валерия Валериевна;
30586;2489ПВ;Алексеев Иннокентий Иннокентиeвич;В приказ;Первый;80;Пединститут;заочная;Нормативный;5 лет 00 мес.;4 (четвертый) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;233-СС3;91;85;без отличия;да;;нет;да;нет;05.06.2019 11:06;Агафонова Валерия Валериевна;
30587;2490ПВ;Алексеева Софья Алексеeвна;В приказ;Первый;75,45;Пединститут;заочная;Нормативный;5 лет 00 мес.;5 (пятый) курс;44.03.01;Педагогическое образование (Профиль: Музыкальное образование);Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;ПТ;704577;55,9;без отличия;да;;да;да;нет;05.06.2019 11:07;Агафонова Валерия Валериевна;
30588;2491ПВ;Глебенко Ксения Андреeвна;В приказ;Первый;85,8;Пединститут;заочная;Нормативный;5 лет 00 мес.;2 (второй) курс;44.03.02;Психолого-педагогическое образование;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;НК;34502027;81,6;без отличия;да;;нет;да;нет;05.06.2019 11:07;Агафонова Валерия Валериевна;
30589;2492ПВ;Игнатовская Наталья Глебовна;В приказ;Первый;79,2;Пединститут;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;44.03.02;Психолого-педагогическое образование;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1704094;78,4;без отличия;да;;да;да;нет;05.06.2019 11:07;Агафонова Валерия Валериевна;
30590;2493ПВ;Борисов Андрей Серафимович;В приказ;Первый;83,3;Пединститут;очная;Нормативный;4 года 00 мес.;2 (второй) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1708341;87,6;без отличия;да;;да;да;нет;05.06.2019 11:08;Агафонова Валерия Валериевна;
30591;2494ПВ;Трофимов Игнат Глебович;В приказ;Первый;82,2;Пединститут;заочная;Нормативный;5 лет 00 мес.;5 (пятый) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;Е16;121411;84,4;без отличия;да;;да;да;нет;05.06.2019 11:08;Агафонова Валерия Валериевна;
30592;2495ПВ;Иваненко Петр Трофимович;В приказ;Первый;95;Пединститут;заочная;Нормативный;5 лет 00 мес.;2 (второй) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;НК;21528519;100;без отличия;да;;нет;да;нет;05.06.2019 11:09;Агафонова Валерия Валериевна;
30593;2496ПВ;Терентиев Борис Дмитриeвич;В приказ;Первый;66,6;Пединститут;заочная;Нормативный;5 лет 00 мес.;4 (четвертый) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;НК;22972745;58,2;без отличия;да;;нет;да;нет;05.06.2019 11:10;Агафонова Валерия Валериевна;
30594;2497ПВ;Иваненко Тамара Николаeвна;В приказ;Первый;75,8;Пединститут;заочная;Нормативный;5 лет 00 мес.;4 (четвертый) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;НК;27686131;76,6;без отличия;да;;да;да;нет;05.06.2019 11:10;Агафонова Валерия Валериевна;
30595;2498ПВ;Борисенко Семен Игнатович;В приказ;Первый;76,35;Пединститут;заочная;Нормативный;5 лет 00 мес.;5 (пятый) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;Переводы, восстановления;Диплом специалиста;АВС;729317;67,7;без отличия;да;;нет;да;нет;05.06.2019 11:11;Агафонова Валерия Валериевна;
30596;2499ПВ;Тимофеевич Алексей Кондратович;В приказ;Первый;55,45;Пединститут;заочная;Нормативный;5 лет 00 мес.;4 (четвертый) курс;44.03.02;Психолого-педагогическое образование;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;НК;42420140;30,9;без отличия;да;;нет;да;нет;05.06.2019 11:11;Агафонова Валерия Валериевна;
30597;2500ПВ;Тимофеевич Зинаида Андреeвна;Отклонено;Первый;43,7;Пединститут;заочная;Нормативный;5 лет 00 мес.;2 (второй) курс;44.03.02;Психолого-педагогическое образование;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;НК;29667826;87,4;без отличия;да;;нет;да;нет;05.06.2019 11:11;Агафонова Валерия Валериевна;
30598;2501ПВ;Степанович Элеонора Александровна;В приказ;Первый;96;Пединститут;заочная;Нормативный;5 лет 00 мес.;5 (пятый) курс;44.03.01;Педагогическое образование (Профиль: Музыкальное образование);Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;НК;45775697;97;без отличия;да;;да;да;нет;05.06.2019 11:12;Агафонова Валерия Валериевна;
30599;2502ПВ;Серафимович Андрей Николаeвич;В приказ;Первый;64,9;Пединститут;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;/И;820400;51,8;без отличия;да;;нет;да;нет;05.06.2019 11:12;Агафонова Валерия Валериевна;
30600;2503ПВ;Иваненко Тамара Кирилловна;В приказ;Первый;81,5;Пединститут;заочная;Нормативный;5 лет 00 мес.;2 (второй) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;Р;909341;83;без отличия;да;;нет;да;нет;05.06.2019 11:13;Агафонова Валерия Валериевна;
30601;2504ПВ;Кондратович Жанна Кондратовна;В приказ;Первый;81,4;Пединститут;очная;Нормативный;4 года 00 мес.;2 (второй) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1805058;83,8;без отличия;да;;да;да;нет;05.06.2019 11:13;Агафонова Валерия Валериевна;
30602;2505ПВ;Владимирович Елена Степановна;В приказ;Первый;74,2;Пединститут;заочная;Нормативный;5 лет 00 мес.;4 (четвертый) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;НК;42415241;173,4;без отличия;да;;нет;да;нет;05.06.2019 11:14;Агафонова Валерия Валериевна;
30603;2506ПВ;Кондратенко Игнат Терентиeвич;В приказ;Первый;94;Пединститут;заочная;Нормативный;5 лет 00 мес.;4 (четвертый) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;238-СС3;536;98;без отличия;да;;да;да;нет;05.06.2019 11:14;Агафонова Валерия Валериевна;
30604;2507ПВ;Терентиевич Алексей Терентиeвич;В приказ;Первый;77,5;Пединститут;очная;Нормативный;4 года 00 мес.;2 (второй) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1800371;4;без отличия;да;;да;да;нет;05.06.2019 11:14;Агафонова Валерия Валериевна;
30605;2508ПВ;Николаенко Александр Семенович;В приказ;Первый;86,6;Пединститут;заочная;Нормативный;5 лет 00 мес.;2 (второй) курс;44.03.02;Психолого-педагогическое образование;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1708628;83,2;без отличия;да;;да;да;нет;05.06.2019 11:15;Агафонова Валерия Валериевна;
30606;2509ПВ;Кондратова Виктория Александровна;В приказ;Первый;74,88;Пединститут;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;нк;37175249;74,75;без отличия;да;;нет;да;нет;05.06.2019 11:15;Агафонова Валерия Валериевна;
30607;2510ПВ;Семеновский Иван Борисович;В приказ;Первый;86;Пединститут;очная;Нормативный;4 года 00 мес.;3 (третий) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;Да;1704623;197;без отличия;да;;да;да;нет;05.06.2019 11:15;Агафонова Валерия Валериевна;
30608;2511ПВ;Глебовский Серафим Глебович;В приказ;Первый;23,8;Пединститут;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;44.03.02;Психолого-педагогическое образование;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1602541;47,6;без отличия;да;;да;да;нет;05.06.2019 11:16;Агафонова Валерия Валериевна;
30609;2512ПВ;Семененко Анна Терентиeвна;В приказ;Первый;85,4;Пединститут;заочная;Нормативный;5 лет 00 мес.;2 (второй) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;9927;80,8;без отличия;да;;нет;да;нет;05.06.2019 11:16;Агафонова Валерия Валериевна;
30610;2513ПВ;Серафимович Глеб Иннокентиeвич;В приказ;Первый;83,95;Пединститут;заочная;Нормативный;5 лет 00 мес.;5 (пятый) курс;44.03.01;Педагогическое образование (Профиль: Музыкальное образование);Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;НК;43187822;74,9;без отличия;да;;да;да;нет;05.06.2019 11:17;Агафонова Валерия Валериевна;
30611;2514ПВ;Борисович Инна Серафимовна;В приказ;Первый;74,2;Пединститут;заочная;Нормативный;5 лет 00 мес.;5 (пятый) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;Переводы, восстановления;Диплом бакалавра;НК;39864916;73,4;без отличия;да;;нет;да;нет;05.06.2019 11:17;Агафонова Валерия Валериевна;
30612;2515ПВ;Кириллович Иван Дмитриeвич;В приказ;Первый;95;Пединститут;очная;Нормативный;4 года 00 мес.;2 (второй) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1805129;100;без отличия;да;;да;да;нет;05.06.2019 11:18;Агафонова Валерия Валериевна;
30613;2516ПВ;Серафимовский Степан Андреeвич;В приказ;Первый;82,9;Пединститут;очная;Нормативный;4 года 00 мес.;3 (третий) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1705826;4,44;без отличия;да;;да;да;нет;05.06.2019 11:18;Агафонова Валерия Валериевна;
30614;2517ПВ;Трофимовская Марина Александровна;В приказ;Первый;74,8;Пединститут;заочная;Нормативный;5 лет 00 мес.;4 (четвертый) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;НК;34499926;169,6;без отличия;да;;нет;да;нет;05.06.2019 11:18;Агафонова Валерия Валериевна;
30615;2518ПВ;Иванова Юлия Николаeвна;В приказ;Первый;58;Пединститут;заочная;Нормативный;5 лет 00 мес.;5 (пятый) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;Переводы, восстановления;Диплом о среднем профессиональном образовании;ХА;28517425;40;без отличия;да;;нет;да;нет;05.06.2019 11:18;Агафонова Валерия Валериевна;
30616;2519ПВ;Тимофеенко Глеб Тимофеeвич;В приказ;Первый;70,5;Пединститут;заочная;Нормативный;5 лет 00 мес.;4 (четвертый) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;НК;19003326;54;без отличия;да;;нет;да;нет;05.06.2019 11:18;Агафонова Валерия Валериевна;
30617;2520ПВ;Александренко Елена Семеновна;В приказ;Первый;83;Пединститут;заочная;Нормативный;5 лет 00 мес.;2 (второй) курс;44.03.02;Психолого-педагогическое образование;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;НК;29633221;76;без отличия;да;;нет;да;нет;05.06.2019 11:19;Агафонова Валерия Валериевна;
30618;2521ПВ;Ивановский Николай Игнатович;В приказ;Первый;94,6;Пединститут;очная;Нормативный;4 года 00 мес.;2 (второй) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1803019;4,96;без отличия;да;;да;да;нет;05.06.2019 11:19;Агафонова Валерия Валериевна;
